userid,account,uncertainty_1,uncertainty_2,likelihood_e,reduc_e,likelihood_s,reduc_s,Finished,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1L. NoA._1,1L. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA,1L. NoA_1,1L. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA,1. NoA.,1M. NoA._1,1M. NoA._1,2. NoA.,2L. NoA._1,2L. NoA._1,NoA.,1. NoA,1M. NoA._1,1M. NoA._1,2. NoA.,2M. NoA._1,2M. NoA._1,NoA.,1. NoA.,1M. NoA_1,1M. NoA._1,2. NoA.,2H. NoA._1,2H. NoA._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2L. Acc._1,2L. Acc._1,NoA.,1. NoA.,1H. NoA_1,1H. NoA._1,2. NoA.,2M. Acc._1,2M. Acc._1,NoA.,1. NoA.,1H. NoA._1,1H. NoA._1,2. NoA,2H. Acc._1,2H. Acc._1,Acc.,1. Acc,1L. Acc._1,1L. Acc._1,2. Acc,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1L. Acc._1,1L. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1M. Acc._1,1M. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2L. Acc._1,2L. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2M. Acc._1,2M. Acc._1,Acc.,1. Acc.,1H. Acc._1,1H. Acc._1,2. Acc.,2H. Acc._1,2H. Acc._1,crt,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,consc,consc_1,consc_2*,consc_2,consc_3,consc_4*,consc_4,extro,extro_1,extro_2*,extro_2,extro_3,extro_4*,extro_4,agree,agree_1,agree_2*,agree_2,agree_3,agree_4*,agree_4,open,open_1,open_2*,open_2,open_3*,open_3,open_4*,open_4,neuro,neuro_1,neuro_2*,neuro_2,neuro_3,neuro_4*,neuro_4,nfc,nfc_1,nfc_2,nfc_3*,nfc_3,nfc_4*,nfc_4,nfc_5*,nfc_5,nfc_6,nfc_7*,nfc_7,nfc_8*,nfc_8,nfc_9*,nfc_9,nfc_10,nfc_11,nfc_12*,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16*,nfc_16,nfc_17*,nfc_17,nfc_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_4,aomt_5*,aomt_5,aomt_6*,aomt_6,aomt_7*,aomt_7,aomt_8,aomt_9,background,pol.party,pol.party_TEXT,pol.orient_1,pol.orient_2,pol.orient_3,educ,age,gender,race,pol.exp_1,pol.exp_2,pol.exp_3,pol.exp_4,pol.exp_5,pol.exp_6,pol.exp_7,pol.exp_8,policy
462,1,3,1,43,50,70,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,43,50,1,70,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,4.5,6,2,6,7,3,5,5.25,6,5,3,4,6,2,5.25,6,6,2,3,6,2,6.5,7,6,2,6,2,7,1,4,6,4,4,4,2,6,4.444444444,6,4,4,4,3,5,3,5,6,4,4,5,3,5,3,6,5,4,4,5,6,2,4,4,2,6,6,4.111111111,6,7,6,3,5,1,7,2,6,2,6,5,5,1,4,LGBQ,7,7,8,4,2,1,1,,,,1,,,,,2
463,0,3,2,60,46,75,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,60,46,1,75,35,,,,,,,,1,0.10,0,5,1,24,0,4.5,6,2,6,6,4,4,7,7,7,1,7,7,1,5.75,7,7,1,2,7,1,7,7,7,1,7,1,7,1,3.25,4,2,6,2,5,3,4.611111111,2,6,6,2,4,4,3,5,6,4,4,2,6,5,3,6,5,6,2,5,6,6,3,5,2,6,6,4.222222222,6,6,6,5,3,2,6,3,5,2,6,4,4,1,4,Green Peace,7,8,8,5,1,1,5,,,,,,,,1,2
464,1,1,2,75,8,90,45,1,,,,,,,,1,1,75,8,1,90,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,4.5,7,2,6,7,2,6,5,6,4,4,4,6,2,5,6,6,2,3,5,3,6.5,7,6,2,6,2,7,1,4.5,6,5,3,5,2,6,4.444444444,7,4,4,4,4,4,1,7,6,2,6,4,4,4,4,7,5,4,4,6,6,4,2,6,4,4,6,4.222222222,6,6,5,5,3,2,6,2,6,3,5,4,5,1,3,,5,5,5,3,1,1,1,,,,,,,,1,2
465,0,3,1,80,75,90,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,75,1,90,9,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,4.5,7,1,7,7,3,5,6.5,6,7,1,6,7,1,5.5,7,7,1,1,7,1,6.5,7,7,1,6,2,6,2,3.75,5,3,5,3,4,4,4.5,6,4,7,1,3,5,3,5,5,7,1,4,4,4,4,6,6,7,1,4,4,1,2,6,2,6,6,4.333333333,6,4,5,5,3,4,4,4,4,4,4,3,4,1,4,LGBQ,5,6,7,4,1,2,1,,,,1,,,,,2
466,0,1,2,70,8,95,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,70,8,1,95,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5.75,7,4,4,7,5,3,5.75,7,6,2,4,6,2,5,5,6,2,3,6,2,6,7,6,2,5,3,6,2,4.5,7,4,4,4,3,5,4.111111111,6,4,4,4,4,4,3,5,3,5,3,3,5,4,4,6,5,5,3,4,4,5,2,6,3,5,4,4.222222222,6,6,6,4,4,3,5,3,5,2,6,4,4,1,4,LGBQ,5,5,8,3,1,2,1,,,1,1,,,,,2
467,1,1,3,59,7,69,7,1,,,,,,,,,,,,,,,1,1,59,7,1,69,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5,6,3,5,7,4,4,6.25,6,6,2,6,7,1,5,6,6,2,2,6,2,6.25,7,7,1,5,3,6,2,4.5,6,4,4,4,4,4,4.333333333,4,5,5,3,2,6,2,6,5,5,3,3,5,4,4,6,4,4,4,5,6,6,4,4,2,6,6,3.888888889,7,5,6,3,5,2,6,2,6,1,7,5,4,1,3,,5,5,5,3,2,2,3,,,1,1,,,,,2
468,1,1,2,60,6,80,45,1,,,,,,,,1,1,60,6,1,80,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,4.75,7,2,6,7,3,5,5.75,6,6,2,5,6,2,5.5,6,6,2,4,6,2,5.75,6,6,2,5,3,6,2,4.5,7,4,4,5,2,6,4.277777778,7,5,4,4,4,4,3,5,6,4,4,4,4,5,3,3,5,4,4,4,4,7,2,6,2,6,4,4.222222222,6,6,6,5,3,2,6,4,4,3,5,2,4,1,4,LGBQ,5,6,7,4,1,2,5,,,,1,1,,,,2
469,1,2,3,35,25,85,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,35,25,1,85,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5.5,7,4,4,7,4,4,5.5,5,6,2,5,6,2,6,7,7,1,3,7,1,5.75,5,7,1,5,3,6,2,4.25,7,3,5,3,4,4,4.444444444,4,5,5,3,3,5,4,4,6,3,5,3,5,4,4,6,6,6,2,6,5,4,3,5,3,5,4,4,6,6,4,5,3,2,6,3,5,2,6,4,4,1,4,Green Peace,7,9,9,3,1,2,1,,,1,1,1,,,,2
470,0,0,3,0,0,77,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,77,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,4.25,7,2,6,5,3,5,5.75,6,6,2,4,7,1,5.25,6,6,2,2,7,1,5.25,7,4,4,4,4,6,2,4.25,7,4,4,4,2,6,4.555555556,7,2,4,4,3,5,2,6,6,3,5,4,4,4,4,7,5,6,2,6,4,6,6,2,2,6,5,4,7,6,5,4,4,1,7,2,6,2,6,4,5,1,3,,5,5,5,3,2,2,3,,,,1,,,,,2
471,1,3,2,95,85,99,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,95,85,1,99,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5,6,3,5,7,4,4,5.75,6,6,2,5,6,2,5,6,5,3,4,5,3,5.5,7,5,3,4,4,6,2,4.75,7,5,3,5,2,6,4.5,6,4,5,3,3,5,1,7,5,4,4,3,5,4,4,6,6,6,2,5,4,5,6,2,2,6,6,4,7,5,6,4,4,1,7,2,6,2,6,5,4,1,4,LGBT,5,5,7,4,2,2,1,,,1,1,,,1,,2
472,0,2,3,60,30,70,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,60,30,1,70,65,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,6.25,7,5,3,7,6,2,5,4,5,3,5,6,2,5,6,6,2,2,6,2,5.5,6,5,3,5,3,6,2,4,5,3,5,4,4,4,4.333333333,4,4,5,3,3,5,2,6,5,4,4,4,4,4,4,6,7,6,2,6,4,2,2,6,4,4,6,4,6,6,4,5,3,2,6,2,6,3,5,3,5,1,3,,5,6,6,5,2,2,1,,,,1,1,,,,2
473,0,3,3,80,70,80,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,70,1,80,85,1,0.10,0,5,1,24,0,5,7,3,5,6,4,4,6.5,7,6,2,6,7,1,5.25,6,6,2,2,7,1,6.25,7,6,2,6,2,6,2,4,4,4,4,4,4,4,3.722222222,2,5,5,3,2,6,4,4,5,3,5,2,6,2,6,6,4,4,4,5,4,2,4,4,4,4,4,4.222222222,7,5,6,4,4,2,6,4,4,2,6,3,5,1,2,,5,5,5,4,1,2,1,,,1,1,,,,,2
474,1,3,1,80,80,80,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,80,80,1,80,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5.75,7,3,5,7,6,2,6.25,7,6,2,5,7,1,6,7,6,2,4,7,1,7,7,7,1,7,1,7,1,4.25,7,2,6,2,6,2,4.611111111,2,6,7,1,2,6,2,6,5,3,5,4,4,3,5,6,6,6,2,4,4,6,6,2,4,4,7,4.222222222,7,6,6,5,3,1,7,3,5,2,6,3,5,1,4,Green Peace,9,8,8,5,2,2,1,,,,,1,,,,2
475,0,2,2,55,40,80,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,55,40,1,80,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5,6,3,5,7,4,4,6,6,6,2,6,6,2,4.75,6,6,2,2,5,3,5.5,6,5,3,5,3,6,2,4.25,6,4,4,2,5,3,4.333333333,4,6,6,2,4,4,2,6,1,7,1,7,1,2,6,6,6,7,1,4,6,2,2,6,2,6,4,4.333333333,6,6,6,4,4,2,6,3,5,2,6,4,6,1,2,,5,5,5,4,2,2,5,,,1,1,,,,,2
476,1,2,2,85,48,95,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,85,48,1,95,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5.25,7,3,5,7,4,4,6,6,6,2,5,7,1,4.75,5,6,2,2,6,2,5.75,7,5,3,5,3,6,2,4.5,6,4,4,4,4,4,4.833333333,7,5,4,4,4,4,3,5,5,4,4,4,4,3,5,6,6,7,1,5,4,5,7,1,2,6,6,4.111111111,7,6,6,4,4,1,7,3,5,2,6,4,4,1,4,LGBQ,5,5,5,4,1,2,1,,,,,,,,1,2
477,0,1,1,70,7,85,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,70,7,1,85,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,4.75,7,1,7,7,4,4,6.5,6,7,1,6,7,1,5,5,5,3,4,6,2,6.25,7,6,2,5,3,7,1,4.75,6,5,3,5,3,5,3.833333333,6,4,4,4,3,5,1,7,2,2,6,3,5,4,4,4,6,4,4,6,6,2,6,2,2,6,4,4.333333333,7,6,6,4,4,2,6,3,5,2,6,4,5,1,1,,5,5,6,3,1,2,3,,,1,1,,,,,2
478,0,2,1,70,35,85,9,1,,,,,,,,,,,,,,,,,,,,,,1,1,70,35,1,85,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,4,5,1,7,7,3,5,6.75,6,7,1,7,7,1,5,5,6,2,3,6,2,6,7,5,3,5,3,7,1,4,6,3,5,4,3,5,4.722222222,5,7,6,2,2,6,1,7,1,7,1,5,3,5,3,6,6,6,2,6,6,4,4,4,4,4,4,4.222222222,6,6,5,3,5,4,4,4,4,2,6,4,4,1,4,LGBQ,7,7,9,5,1,2,1,,,1,1,,,,,2
479,1,3,3,10,89,10,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,89,1,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,6,6,2,2,6,2,2,2,2,6,2,2,6,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,4,3,5,3,5,3,5,5.166666667,6,6,6,2,6,2,6,2,6,6,2,6,2,6,2,6,2,6,2,7,6,2,2,6,6,2,2,3.222222222,2,6,2,2,6,6,2,1,7,2,6,2,6,1,2,,7,8,8,5,4,1,1,,,,,,,1,,2
480,0,3,2,10,89,50,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,89,1,50,50,,,,,,,,0,0.10,0,100,0,24,0,3.75,4,3,5,5,3,5,6,6,6,2,6,6,2,6,6,6,2,6,6,2,2.5,2,2,6,3,5,3,5,4,5,3,5,3,5,3,2.888888889,2,2,2,6,2,6,2,6,2,2,6,2,6,2,6,2,7,1,7,2,2,6,6,2,2,6,6,5.111111111,6,6,6,6,2,2,6,6,2,6,2,6,2,1,1,,3,4,4,5,4,1,1,,,,,,,1,,2
481,0,2,1,50,50,90,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,50,1,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,7,6,2,1,6,2,2.25,3,2,6,2,2,6,6,6,6,2,6,6,2,5.5,6,6,2,5,3,5,3,4,3,5,3,5,3,5,5.111111111,7,7,6,2,6,2,6,2,6,5,3,5,3,5,3,6,3,5,3,6,6,3,2,6,5,3,3,2.555555556,2,2,2,2,6,3,5,1,7,3,5,2,6,1,2,,6,6,6,5,4,1,1,,,,,,,1,,2
482,1,1,1,90,10,90,10,1,1,1,90,10,1,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,4.25,4,4,4,5,4,4,5.5,6,5,3,6,5,3,6,6,6,2,6,6,2,3.25,2,3,5,5,3,3,5,5,5,5,3,5,5,3,2.888888889,2,2,2,6,2,6,2,6,2,2,6,2,6,2,6,2,6,2,6,2,2,6,6,2,2,6,6,4.888888889,6,6,6,5,3,2,6,5,3,5,3,6,3,1,1,,4,4,4,5,4,1,1,,,,,,,1,,2
483,1,2,3,55,25,70,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,55,25,1,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5.5,6,4,4,7,5,3,6,6,6,2,5,7,1,5,5,5,3,4,6,2,6,7,6,2,5,3,6,2,4,6,4,4,3,3,5,4.555555556,7,4,4,4,3,5,2,6,5,4,4,4,4,4,4,6,6,5,3,6,4,4,6,2,2,6,6,3.888888889,6,5,5,4,4,2,6,2,6,2,6,4,5,1,4,LGBQ,8,7,9,5,2,2,1,,,,1,,,,,2
484,1,1,2,90,10,50,50,1,,,,,,,,1,1,90,10,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,6,6,2,2,6,2,2,2,2,6,2,2,6,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,3.5,3,5,3,3,3,5,5.055555556,7,7,5,3,5,3,5,3,6,6,2,6,2,6,2,6,2,6,2,6,6,2,2,6,6,2,2,2.777777778,2,2,2,2,6,6,2,1,7,2,6,2,6,1,2,,7,6,6,5,4,1,1,,,,,,,1,,2
485,0,2,3,75,45,95,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,75,45,1,95,85,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,4.25,6,2,6,7,2,6,5,5,5,3,4,6,2,4.25,5,5,3,2,5,3,5.25,6,5,3,4,4,6,2,4.25,6,5,3,4,2,6,3.888888889,7,2,2,6,4,4,1,7,4,4,4,4,4,2,6,6,5,5,3,5,4,4,3,5,3,5,5,4,5,4,5,5,3,3,5,3,5,3,5,4,4,1,3,,5,5,5,3,1,2,1,,1,1,1,,,,,2
486,0,1,3,90,10,10,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,90,10,1,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,4.5,5,5,3,3,5,3,6,6,6,2,6,6,2,6,6,6,2,6,6,2,2,2,2,6,2,6,2,6,4,5,5,3,3,3,5,3.111111111,2,2,2,6,2,6,2,6,3,2,6,2,6,2,6,3,7,2,6,3,3,6,5,3,2,6,6,5,6,6,6,6,2,2,6,6,2,5,3,6,2,1,1,,3,3,3,5,4,1,1,,,,,,,1,,2
487,1,3,3,10,89,10,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,89,1,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,6,6,2,2,6,2,2,2,2,6,2,2,6,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,3.75,2,5,3,3,5,3,5.111111111,6,6,6,2,6,2,6,2,6,6,2,6,2,6,2,6,2,6,2,6,6,2,2,6,7,1,1,2.777777778,2,2,2,2,6,6,2,1,7,2,6,2,6,1,2,,7,7,7,5,5,1,1,,,,,1,,1,,2
488,0,3,3,60,50,80,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,60,50,1,80,75,1,0.10,0,5,1,24,0,6.25,7,5,3,7,6,2,7,7,7,1,7,7,1,5.5,7,7,1,1,7,1,6.5,7,6,2,6,2,7,1,4,5,2,6,3,6,2,4.333333333,2,6,6,2,3,5,1,7,4,4,4,3,5,3,5,7,7,7,1,4,6,1,6,2,5,3,3,4.111111111,6,6,6,5,3,3,5,2,6,2,6,3,4,1,4,Green Peace,5,8,8,5,1,2,1,,,1,1,,,1,,2
489,0,3,1,10,90,90,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,90,1,90,10,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,4.5,5,4,4,5,4,4,6,6,6,2,6,6,2,6,6,6,2,6,6,2,2.75,2,3,5,3,5,3,5,4.5,5,5,3,5,3,5,2.944444444,2,2,2,6,2,6,2,6,2,2,6,2,6,2,6,2,7,2,6,2,2,6,6,2,2,6,6,5.111111111,6,6,6,6,2,2,6,6,2,6,2,6,2,1,3,,3,3,3,5,4,1,1,,,,,,,1,,2
490,0,1,2,90,10,50,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,90,10,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,6,6,2,2,6,2,2,2,2,6,2,2,6,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,4,3,5,3,3,5,3,5.555555556,6,6,6,2,6,2,6,2,6,6,2,6,2,6,2,6,2,6,2,6,6,6,6,2,2,6,6,5.111111111,6,6,6,6,2,2,6,6,2,6,2,6,2,1,1,,5,5,5,5,3,1,1,,,,,,,1,,2
491,1,3,1,10,90,90,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,90,1,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,3.75,4,3,5,5,3,5,6,6,6,2,6,6,2,6,6,6,2,6,6,2,2.75,2,3,5,3,5,3,5,4.5,5,5,3,5,3,5,2.888888889,2,2,2,6,2,6,2,6,2,2,6,2,6,2,6,2,6,2,6,2,2,6,6,2,2,6,6,5.111111111,6,6,6,6,2,2,6,6,2,6,2,6,2,1,1,,4,4,4,5,4,1,1,,,,,,,1,,2
492,1,3,2,70,51,80,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,70,51,1,80,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10,0,5,1,24,0,5.25,6,2,6,7,6,2,5.5,6,5,3,5,6,2,5,6,6,2,2,6,2,6.25,7,6,2,5,3,7,1,4,5,3,5,3,5,3,4.444444444,3,6,5,3,3,5,2,6,6,3,5,4,4,4,4,6,6,6,2,6,6,4,2,6,2,6,6,4.333333333,7,4,6,4,4,2,6,3,5,3,5,5,5,1,2,,5,5,5,4,3,2,1,,1,1,1,,,,,2
493,0,2,1,50,50,90,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,50,1,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,5,6,6,2,2,6,2,2,2,2,6,2,2,6,6,6,6,2,6,6,2,6,6,6,2,6,2,6,2,4,3,5,3,5,3,5,5.111111111,6,6,6,2,6,2,6,2,6,6,2,6,2,6,2,6,2,6,2,6,6,2,2,6,6,2,2,2.777777778,2,2,2,2,6,6,2,1,7,2,6,2,6,1,2,,7,7,7,5,3,1,1,,,,,,,1,,2
494,0,2,2,50,50,50,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,50,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.10,0,100,0,24,0,4.5,5,5,3,3,5,3,6,6,6,2,6,6,2,6,6,6,2,6,6,2,2.75,2,3,5,3,5,3,5,4,5,3,5,3,5,3,2.944444444,2,2,2,6,2,6,2,6,2,2,6,2,6,2,6,2,7,2,6,2,2,6,6,2,2,6,6,5.111111111,6,6,7,6,2,1,7,6,2,6,2,6,2,1,1,,3,3,3,5,3,1,1,,,,,,,1,,2
